DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,13/05/2020,400050,Sellick Partnership Limited,"1,809.23",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,13/05/2020,400050,Sellick Partnership Limited,"1,821.05",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,13/05/2020,400050,Sellick Partnership Limited,"1,868.35",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,676.50,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,071.56",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,367.16",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,367.17",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,367.17",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,367.17",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,367.17",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,367.17",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,517.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,13/05/2020,407119,Hays Specialist Recruitment Limited,"1,662.76",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,13/05/2020,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,574.28,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,13/05/2020,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,656.32,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,13/05/2020,215489,Vale Care Services Limited,908.32,REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,13/05/2020,102652,Skybound Therapies Limited,660.00,REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,13/05/2020,102652,Skybound Therapies Limited,"2,025.00",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,13/05/2020,102652,Skybound Therapies Limited,"2,940.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,14/05/2020,100303,PSL Print Management Limited,975.19,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101047,ParentPay Limited,"6,204.40",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101065,Bristol Fruit Sales (Market) Ltd t/a Total Produce (Cardiff),816.68,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101065,Ricoh UK Limited,"1,664.59",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101221,The Assessment Foundation CIC,732.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,14/05/2020,102636,Empowering Learning Limited,521.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,14/05/2020,102636,CJ Contract Travel Services Limited,700.65,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,14/05/2020,102636,Now Education Cardiff Limited,944.01,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,14/05/2020,102636,Empowering Learning Limited,"1,460.55",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,14/05/2020,102636,Merricks Private Transport Contractors Limited,"4,290.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14/05/2020,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),760.24,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14/05/2020,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),828.46,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,14/05/2020,323680,AMX Solutions Limited,"3,365.71",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,14/05/2020,333102,Countrywide Grounds Maintenance Limited,"28,544.25",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,14/05/2020,333510,Ace Site Services (UK) Limited,"1,375.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,14/05/2020,352730,Hexion UK Limited,"4,374.18",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,14/05/2020,365790,Apollo Minibus & Coach Hire Limited,"1,237.50",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,14/05/2020,365803,Merricks Private Transport Contractors Limited,"1,332.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,14/05/2020,403180,Herongrange Security & Systems Limited,"28,560.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,14/05/2020,407111,High Street Solicitors Limited,"19,000.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14/05/2020,420214,PSL Print Management Limited,"2,991.69",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14/05/2020,421230,Insight Direct (UK) Limited,"4,372.30",REVENUE
DIRECT POLICY,GF GRANTS,14/05/2020,465201,The Good Wash Enterprise CIC,"1,000.00",REVENUE
DIRECT POLICY,GF GRANTS,14/05/2020,465201,Vale of Glamorgan Broadcasting (CIC) t/a Bro Radio,"3,000.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,14/05/2020,440531,Cardiff County Council,528.24,REVENUE
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,14/05/2020,834231,Cardiff County Council,"3,146.19",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14/05/2020,842090,Robert Williams & Ptn T/A WT Building Group,"13,370.60",CAPITAL
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101030,Teaching Personnel Limited,871.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101030,Prospero Recruitment Limited,881.20,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,14/05/2020,400050,Sellick Partnership Limited,683.79,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,14/05/2020,400050,Sellick Partnership Limited,683.79,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,14/05/2020,400050,Sellick Partnership Limited,683.79,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,14/05/2020,400050,Sellick Partnership Limited,"1,844.70",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,14/05/2020,400050,Sellick Partnership Limited,"1,880.18",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,14/05/2020,400050,Sellick Partnership Limited,"1,883.96",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14/05/2020,215022,June Zehetmayr t/a Tower Hill Residential Home,770.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,14/05/2020,365802,Gary P Shaw t/a GP Shaw Taxis,972.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,14/05/2020,365803,Gary P Shaw t/a GP Shaw Taxis,"1,563.75",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,14/05/2020,405100,Heather A Tucker T/A Tadross Hotel,583.42,REVENUE
DIRECT POLICY,GF GRANTS,14/05/2020,465201,Dinas Powys Voluntary Concern,"3,000.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,100303,A-Day Consultants Limited T/A Academics,770.78,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101004,Siemens Financial Services Limited,609.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101004,The Assessment Foundation CIC,"1,230.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101004,A & R Contract Cleaning Specialist Limited,"1,789.82",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101004,Legacy Leisure Limited,"2,021.25",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101004,PEAC (UK) Limited,"2,063.58",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101005,A-Day Consultants Limited T/A Academics,786.45,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101005,A-Day Consultants Limited T/A Academics,"1,367.10",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101005,A-Day Consultants Limited T/A Academics,"2,425.50",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101025,Grenke Leasing Limited,"3,266.70",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101047,The Assessment Foundation CIC,"1,230.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101075,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101145,Blue Sky Digital Solutions Limited,"1,993.27",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101180,Superstars School Services Limited,"1,595.64",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101180,Dwr Cymru Cyf,"1,838.94",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101213,Complete Business Solutions Group Limited,"1,026.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101308,A & R Contract Cleaning Specialist Limited,"2,803.51",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,102593,Blue Sky Digital Solutions Limited,840.62,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,102593,HTL Windows & Doors Limited,"9,429.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,A-Day Consultants Limited T/A Academics,701.72,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,A-Day Consultants Limited T/A Academics,877.15,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,A-Day Consultants Limited T/A Academics,877.15,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,A-Day Consultants Limited T/A Academics,877.15,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,15/05/2020,130041,Supacleen Limited,-823.18,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,15/05/2020,130041,Supacleen Limited,823.18,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,15/05/2020,130041,Supacleen Limited,823.18,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,15/05/2020,130041,Supacleen Limited,823.18,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,15/05/2020,140131,Matrix SCM Limited,"121,426.42",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217541,Care Management Group Limited,826.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217541,Care Management Group Limited,"78,516.13",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217541,Care Management Group Limited,"94,571.96",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217909,Everycare (Cardiff) Limited,"1,372.28",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217909,Everycare (Cardiff) Limited,"1,372.28",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217909,Everycare (Cardiff) Limited,"1,372.28",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217909,Everycare (Cardiff) Limited,"1,688.96",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,218310,Celtic Community Services Limited,972.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,15/05/2020,325644,Centregreat Limited,"35,342.27",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,15/05/2020,359341,Thornlink Limited T/A Vale Consultancy,"1,110.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,15/05/2020,365790,Wheadon Group Travel Limited,"6,525.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,15/05/2020,400063,Telefonica UK Limited t/a O2,"8,349.36",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,15/05/2020,420211,Capita Business Services Limited,"2,334.53",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,15/05/2020,421230,Telefonica UK Limited t/a O2,"2,280.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,15/05/2020,440520,Castell Howell Foods Limited,"2,992.47",REVENUE
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,15/05/2020,812314,Kingfisher Developments (Wales) Limited,"17,871.07",CAPITAL
DIRECT CAPITAL POLICY,CAPITAL POLICY,15/05/2020,852265,Thornlink Limited T/A Vale Consultancy,"2,504.40",CAPITAL
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,15/05/2020,323655,Conwy County Borough Council,"2,525.02",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,15/05/2020,341180,Cardiff County Council,"67,448.18",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101047,New Directions (Education) Limited,757.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101065,Teaching Personnel Limited,528.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101315,New Directions (Education) Limited,930.70,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101315,New Directions (Education) Limited,930.70,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101315,Teaching Personnel Limited,"1,638.50",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15/05/2020,101315,Teaching Personnel Limited,"1,638.50",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,New Directions (Education) Limited,631.92,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,New Directions (Education) Limited,789.90,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,New Directions (Education) Limited,789.90,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103005,New Directions (Education) Limited,789.90,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103412,Apollo Teaching Services Limited,514.26,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15/05/2020,103412,Apollo Teaching Services Limited,685.68,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,15/05/2020,140131,Randstad Solutions Limited,"5,095.59",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,216179,The Cedars Care Services Limited t/a The Hollies,"4,519.64",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15/05/2020,217909,Ocean Community Services Limited t/a Beech House,"3,621.13",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,15/05/2020,365790,Wayne Davies t/a Denway Travel,573.75,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,15/05/2020,365790,Wayne Davies t/a Denway Travel,956.25,REVENUE
DIRECT POLICY,GF GRANTS,15/05/2020,465201,BWCRA,940.00,REVENUE
DIRECT POLICY,GF GRANTS,15/05/2020,465201,Llantwit Major and Cowbridge Lions Club,"3,000.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,100805,Dwr Cymru Cyf,561.81,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101005,Dwr Cymru Cyf,"1,261.30",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101006,J & D Water Consultants Limited,520.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101025,Manhire Jobshop Limited,600.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101025,Amazon Payments UK Limited,639.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101025,Advanced Moulds Limited T/A theClassroom.co,648.98,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101025,J & D Water Consultants Limited,700.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101025,Albion Computers Plc,787.65,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101025,Ikea Limited T/A Ikea Business,"1,524.17",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101031,Dwr Cymru Cyf,923.21,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101055,Dwr Cymru Cyf,"4,361.86",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101075,Dwr Cymru Cyf,"1,486.55",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101095,Blue Sky Digital Solutions Limited,900.29,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101134,Dwr Cymru Cyf,656.01,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101137,Dwr Cymru Cyf,"1,558.67",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101173,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101173,A & R Contract Cleaning Specialist Limited,"1,310.38",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101173,Propel Finance Plc,"3,240.57",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101195,Dwr Cymru Cyf,"1,525.03",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101213,Dwr Cymru Cyf,"1,026.47",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101216,Dwr Cymru Cyf,956.28,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101233,Dwr Cymru Cyf,"1,353.21",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101241,Dwr Cymru Cyf,804.48,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101261,Dwr Cymru Cyf,549.47,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101300,Dwr Cymru Cyf,"1,108.69",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101304,Dwr Cymru Cyf,"2,448.93",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18/05/2020,101317,Dwr Cymru Cyf,"1,066.15",REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,18/05/2020,130041,Dwr Cymru Cyf,631.88,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,18/05/2020,212741,Dwr Cymru Cyf,"3,465.89",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,18/05/2020,212781,Dwr Cymru Cyf,"4,565.89",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,18/05/2020,303900,Vellacine Limited,675.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,18/05/2020,303900,Vellacine Limited,675.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,18/05/2020,303910,SMK Building & Maintenance Limited,"4,215.63",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,18/05/2020,325346,Kordel Limited,972.38,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,18/05/2020,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"3,020.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,18/05/2020,333550,KS Barry (Plumbing & Heating) Limited,"1,056.88",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,18/05/2020,333600,Dwr Cymru Cyf,"1,880.99",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,18/05/2020,356020,The Abbey Cleaning Services Limited,532.90,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,18/05/2020,359369,Happy Embroidery Limited,"1,600.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,18/05/2020,365769,Pencoed Travel Limited,"1,687.50",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,18/05/2020,403102,Diamond People Limited,892.50,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,18/05/2020,403227,Funeral Services Limited,"1,077.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18/05/2020,421230,Computacenter (UK) Limited,"4,765.44",REVENUE
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,18/05/2020,842164,Pendragon Design and Build Limited,"9,652.76",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,18/05/2020,842166,Jehu Project Services Limited,"43,880.61",CAPITAL
DIRECT CAPITAL POLICY,CAPITAL POLICY,18/05/2020,852232,ITS Technology Group Limited,"-9,166.61",CAPITAL
DIRECT CAPITAL POLICY,CAPITAL POLICY,18/05/2020,852232,ITS Technology Group Limited,"9,166.61",CAPITAL
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,18/05/2020,303900,Paul Robinson & Ptn T/A RM Scaffolding,540.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,18/05/2020,303900,Paul Robinson & Ptn T/A RM Scaffolding,680.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,18/05/2020,140131,Randstad Solutions Limited,"36,264.67",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,18/05/2020,400050,Sellick Partnership Limited,"1,797.40",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,18/05/2020,333102,John P Lewis t/a JPL Sound & Communications,"1,951.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,18/05/2020,365790,Nigel Martlew t/a Caring Coaches,"7,087.50",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18/05/2020,260060,The Adolescent & Childrens Trust,"3,291.27",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18/05/2020,260060,The Adolescent & Childrens Trust,"3,291.27",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18/05/2020,260060,The Adolescent & Childrens Trust,"3,291.27",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,1st Grade Care Limited,502.89,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,All Saints DC Limited,511.01,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,Cherish Cymru Limited,538.31,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,All Saints DC Limited,556.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,Heidi Christoforato t/a Churchfields Home Care,572.16,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,1st Grade Care Limited,585.94,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/05/2020,215489,Willowmere Home Care Agency Limited,604.50,REVENUE
